dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-03-01,7,0,1,0,0,0,0,0,0,0,0,163,22,92
2016-04-01,0,0,0,0,0,0,0,0,0,0,0,53,13,51
2016-05-01,0,0,0,0,0,0,0,0,0,0,0,55,15,41
2016-06-01,0,0,0,0,0,0,0,0,0,0,0,30,9,39
2016-07-01,1,0,1,0,0,0,0,0,0,0,0,44,15,36
2016-08-01,0,0,0,0,0,0,0,0,0,0,0,31,8,38
2016-09-01,0,0,0,0,0,0,0,0,0,0,0,61,23,22
2016-10-01,6,0,1,0,4,5,0,0,0,0,0,113,26,19
2016-11-01,11,0,1,0,1,6,0,0,0,0,0,84,18,12
2016-12-01,4,0,1,0,2,5,0,0,0,0,0,63,8,11
2017-01-01,1,0,1,0,0,0,0,0,0,0,0,52,13,9
2017-02-01,0,0,0,0,1,4,0,0,0,0,0,60,13,16
2017-03-01,0,0,0,0,1,0,1,1,0,0,0,95,14,14
2017-04-01,0,0,0,0,0,0,0,0,0,0,0,39,6,9
2017-05-01,1,0,1,0,1,1,0,0,0,0,0,48,8,7
2017-06-01,10,0,2,0,3,2,1,0,1,1,0,47,8,12
2017-07-01,3,0,1,0,2,7,0,0,0,0,0,52,14,9
2017-08-01,0,0,0,0,1,8,0,0,0,0,0,56,7,2
2017-09-01,1,0,1,0,0,0,0,0,0,0,0,37,6,5
2017-10-01,0,0,0,0,0,0,0,0,0,0,0,28,11,2
2017-11-01,0,0,0,0,0,0,0,0,0,0,0,55,16,3
2017-12-01,3,0,1,0,3,13,0,0,0,0,0,46,15,8
2018-01-01,1,0,1,0,1,1,0,0,0,0,0,61,11,1
2018-02-01,1,0,1,0,1,5,0,0,0,0,0,58,10,6
2018-03-01,1,0,1,0,0,0,0,0,0,0,0,103,21,7
2018-04-01,6,0,1,0,3,6,0,0,0,0,0,92,13,7
2018-05-01,3,0,1,0,1,53,0,0,0,0,0,70,7,4
2018-06-01,0,0,0,0,2,8,0,0,0,0,0,48,8,4
2018-07-01,0,0,0,0,1,5,0,0,0,0,0,66,11,3
2018-08-01,15,0,1,0,2,3,0,0,0,0,0,68,15,0
2018-09-01,0,0,0,0,1,3,0,0,0,0,0,60,15,3
2018-10-01,0,0,0,0,3,5,0,0,0,0,0,60,12,1
2018-11-01,0,0,0,0,1,0,0,0,0,0,0,83,14,3
2018-12-01,0,0,0,0,0,0,0,0,0,0,0,52,15,3
2019-01-01,0,0,0,0,1,5,0,0,0,0,0,61,9,1
2019-02-01,0,0,0,0,1,1,0,0,0,0,0,65,6,0
2019-03-01,0,0,0,1,5,9,0,0,0,0,0,158,29,2
2019-04-01,0,0,0,1,4,8,0,0,0,0,0,116,15,1
2019-05-01,1,0,1,0,0,0,1,0,0,0,0,103,23,1
2019-06-01,1,0,1,4,2,4,0,0,1,1,0,340,65,3
