dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_stargazer,monthly_forks,monthly_watchers
2018-05-01,43,0,1,0,0,0,0,0,0,0,0,0,0,7
2018-06-01,110,0,4,2,24,14,22,1,21,2,14,1,0,9
2018-07-01,69,1,12,13,47,210,45,1,34,4,236,1988,74,13
2018-08-01,41,0,8,6,70,287,42,8,38,4,244,244,18,2
2018-09-01,47,0,10,11,75,327,48,1,47,4,254,144,10,8
2018-10-01,21,0,6,9,37,169,25,0,20,3,145,83,11,1
2018-11-01,9,0,3,8,17,96,10,1,9,3,92,46,6,2
2018-12-01,1,0,1,0,3,15,3,0,1,1,41,50,3,1
2019-01-01,12,0,2,1,14,57,13,1,12,2,79,32,2,7
2019-02-01,6,0,3,0,7,18,7,0,6,2,37,53,4,0
2019-03-01,12,0,4,1,17,69,8,1,12,4,61,33,1,2
2019-04-01,5,0,4,3,12,72,2,2,5,1,48,40,4,1
2019-05-01,0,0,0,0,1,19,1,0,0,0,1,32,4,1
2019-06-01,0,0,0,0,0,0,0,0,0,0,0,23,1,0
2019-07-01,0,0,0,0,1,1,0,0,0,0,0,14,1,1
2019-08-01,1,0,1,0,2,10,0,0,1,1,1,109,2,1
2019-09-01,0,0,0,0,0,0,0,0,0,0,0,32,2,2
2019-10-01,3,0,2,5,5,10,5,1,3,2,10,74,8,2
