dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_stargazer,monthly_forks,monthly_watchers
2019-06-01,2,0,1,1,8,9,11,0,12,1,1,0,0,0
2019-07-01,1,0,1,1,2,5,0,0,0,0,0,0,0,0
2019-08-01,0,0,0,1,4,13,1,0,0,0,1,0,0,0
2019-09-01,21,1,1,0,13,16,8,1,8,1,1,0,6,0
2019-10-01,17,0,3,0,10,15,6,0,6,3,6,0,10,0
2019-11-01,5,0,2,1,7,12,2,0,2,1,0,0,24,0
2019-12-01,3,0,2,0,1,0,1,0,1,1,0,0,9,0
