dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-01-01,15,0,2,0,7,26,2,1,1,1,22,548,50,39
2016-02-01,0,0,0,0,1,1,0,0,0,0,0,39,3,30
2016-03-01,3,0,1,0,5,12,1,0,0,0,5,128,14,63
2016-04-01,5,0,1,0,4,23,0,0,0,0,0,319,29,37
2016-05-01,3,0,1,0,4,19,1,2,0,0,5,91,12,30
2016-06-01,5,0,2,0,6,18,1,0,1,1,16,64,13,24
2016-07-01,1,0,1,0,2,1,0,0,0,0,0,48,9,23
2016-08-01,0,0,0,0,1,2,0,0,0,0,0,69,14,18
2016-09-01,0,0,0,0,4,12,0,0,0,0,0,46,1,17
2016-10-01,1,0,1,0,6,8,0,0,0,0,0,40,2,14
2016-11-01,1,0,1,0,4,8,0,0,0,0,0,46,3,10
2016-12-01,0,0,0,0,3,9,1,0,0,0,4,34,10,13
2017-01-01,0,0,0,0,3,7,0,0,0,0,0,37,7,6
2017-02-01,6,0,2,0,7,27,3,1,2,1,34,66,7,8
2017-03-01,0,0,0,0,4,5,1,0,0,0,1,60,11,10
2017-04-01,0,0,0,0,5,24,0,2,0,0,5,39,6,9
2017-05-01,1,0,1,0,1,0,1,0,1,1,0,87,9,6
2017-06-01,0,0,0,1,2,3,4,1,0,0,6,49,10,7
2017-07-01,0,0,0,0,1,2,1,0,0,0,0,55,7,12
2017-08-01,0,0,0,0,0,0,0,0,0,0,0,61,8,0
2017-09-01,9,1,3,0,18,68,3,3,2,1,15,133,24,4
2017-10-01,9,0,2,38,23,62,11,2,1,1,2,916,151,59
