dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_stargazer,monthly_forks,monthly_watchers
2017-07-01,31,0,7,0,21,54,8,0,6,1,23,790,11,7
2017-08-01,0,0,0,0,0,0,0,0,0,0,0,57,1,4
2017-09-01,0,0,0,0,0,0,0,0,0,0,0,73,1,9
2017-10-01,0,0,0,0,0,0,0,0,0,0,0,42,1,3
2017-11-01,0,0,0,0,0,0,1,0,0,0,2,74,1,11
2017-12-01,0,0,0,0,0,0,0,0,0,0,0,32,1,5
2018-01-01,0,0,0,0,0,0,0,0,0,0,0,87,3,5
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,77,0,3
2018-03-01,25,0,4,0,61,418,6,6,3,1,41,201,4,6
2018-04-01,7,0,3,0,7,9,0,0,0,0,0,624,11,4
2018-05-01,17,1,3,1,22,191,0,0,0,0,0,154,6,5
2018-06-01,0,0,0,1,0,8,0,0,0,0,0,64,0,2
2018-07-01,0,0,0,0,0,0,0,0,0,0,0,32,1,4
2018-08-01,0,0,0,0,0,0,0,0,0,0,0,41,1,1
2018-09-01,0,0,0,1,0,11,0,0,0,0,0,30,0,1
2018-10-01,0,0,0,0,0,0,0,0,0,0,0,36,2,1
2018-11-01,0,0,0,0,0,0,0,0,0,0,0,51,2,0
2018-12-01,0,0,0,0,0,0,0,0,0,0,0,55,2,1
2019-01-01,0,0,0,0,1,1,0,0,0,0,0,41,5,1
2019-02-01,1,0,1,0,2,0,0,0,0,0,0,45,2,2
2019-03-01,1,0,1,1,6,22,0,0,0,0,0,36,0,2
2019-04-01,0,0,0,0,2,2,0,0,0,0,0,35,0,1
2019-05-01,0,0,0,0,0,0,0,0,0,0,0,36,0,0
2019-06-01,2,0,2,7,16,222,0,0,0,0,0,264,2,4
