dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_stargazer,monthly_forks,monthly_watchers
2019-10-01,22,0,3,0,0,0,7,3,2,1,20,0,16,0
2019-11-01,19,0,3,2,20,40,8,2,4,1,12,0,21,0
2019-12-01,8,0,1,4,23,51,2,1,0,0,2,0,12,0
