dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_stargazer,monthly_forks,monthly_watchers
2017-05-01,40,0,7,4,27,92,12,1,11,1,10,437,66,39
2017-06-01,15,2,6,5,20,55,2,0,2,1,0,98,29,28
2017-07-01,6,0,3,8,7,19,1,0,1,1,0,61,27,45
2017-08-01,0,0,0,6,2,26,0,0,0,0,0,50,19,40
2017-09-01,0,0,0,6,5,23,0,0,0,0,0,55,15,31
2017-10-01,5,0,2,7,5,37,0,0,0,0,0,94,32,37
2017-11-01,0,0,0,6,6,34,1,0,0,0,6,102,39,45
2017-12-01,5,0,1,7,10,46,1,0,1,1,0,98,36,28
2018-01-01,1,0,1,11,8,38,2,0,0,0,1,88,36,29
2018-02-01,1,0,1,4,1,6,0,0,0,0,0,58,13,12
2018-03-01,0,0,0,10,4,22,0,0,0,0,0,84,30,30
2018-04-01,4,0,3,10,6,26,3,0,2,1,0,85,34,36
2018-05-01,0,0,0,10,0,31,0,0,0,0,0,119,30,20
2018-06-01,7,0,2,2,2,18,0,0,0,0,0,86,28,21
2018-07-01,0,0,0,2,5,17,0,0,0,0,0,102,17,16
2018-08-01,0,0,0,2,1,0,0,0,0,0,0,62,22,16
2018-09-01,0,0,0,3,0,2,1,0,0,0,1,54,20,22
2018-10-01,0,0,0,4,0,4,0,0,0,0,0,78,18,17
2018-11-01,0,0,0,6,3,3,0,0,0,0,0,108,27,12
2018-12-01,6,0,2,11,4,23,0,0,0,0,0,179,36,11
2019-01-01,0,0,0,5,3,4,0,1,0,0,1,92,19,9
2019-02-01,0,0,0,3,0,1,0,0,0,0,0,48,13,4
2019-03-01,0,0,0,4,0,1,0,0,0,0,0,85,20,12
2019-04-01,2,0,1,14,5,9,2,0,0,0,0,651,133,30
