dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_stargazer,monthly_forks,monthly_watchers
2017-07-01,132,0,15,0,64,184,46,11,35,2,114,986,78,27
2017-08-01,40,0,13,0,42,124,17,3,14,2,48,331,30,14
2017-09-01,29,0,7,1,42,171,7,3,4,1,18,101,15,6
2017-10-01,42,3,10,2,39,135,1,1,0,0,14,78,23,10
2017-11-01,23,0,8,0,25,67,1,1,0,0,2,63,13,10
2017-12-01,7,0,4,1,7,16,1,1,0,0,2,53,9,8
2018-01-01,10,0,4,0,10,63,0,0,0,0,0,66,7,6
2018-02-01,6,0,3,0,8,82,0,0,0,0,0,77,11,5
2018-03-01,12,0,5,0,8,11,0,0,0,0,0,66,9,9
2018-04-01,4,0,2,2,7,35,0,0,0,0,0,63,8,8
2018-05-01,2,0,1,0,4,9,1,1,0,0,4,61,6,1
2018-06-01,4,0,3,0,5,29,1,1,0,0,6,44,7,4
2018-07-01,6,0,4,0,4,2,1,0,1,1,0,58,6,2
2018-08-01,2,0,2,0,10,40,0,0,0,0,0,75,7,4
2018-09-01,8,0,4,1,9,25,0,0,0,0,0,59,8,5
2018-10-01,31,0,9,0,118,468,4,2,1,1,18,73,10,1
2018-11-01,18,0,5,1,19,47,0,0,1,1,0,78,13,2
2018-12-01,1,0,1,0,7,43,0,0,0,0,0,52,10,3
2019-01-01,51,4,8,1,43,194,0,0,0,0,0,65,11,8
2019-02-01,70,0,10,0,41,125,5,1,4,2,16,57,15,4
2019-03-01,33,2,9,2,26,111,0,0,0,0,0,63,13,1
2019-04-01,11,0,3,0,28,147,0,0,0,0,0,49,9,2
2019-05-01,9,0,5,1,15,68,1,1,0,0,8,53,13,1
2019-06-01,19,0,5,2,20,99,1,1,0,0,6,45,8,2
2019-07-01,9,0,4,2,13,71,0,0,0,0,0,47,12,6
2019-08-01,24,0,4,0,20,60,4,1,3,1,6,70,5,4
2019-09-01,11,0,4,1,19,37,0,0,0,0,0,53,13,1
2019-10-01,15,0,6,3,19,81,1,0,1,1,0,44,16,1
2019-11-01,9,2,4,4,14,75,3,1,2,1,26,26,7,1
2019-12-01,12,0,3,2,11,75,0,0,0,0,0,16,2,0
