dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_stargazer,monthly_forks,monthly_watchers
2017-07-01,6,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,7,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-09-01,5,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2017-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,0,0,0,0,0,0,1,1,0,0,6,0,0,0
2018-02-01,0,0,0,0,0,0,5,0,0,0,4,0,0,0
2018-03-01,3,0,2,0,0,0,4,3,2,1,6,0,0,0
2018-04-01,1,0,1,0,0,0,1,1,1,1,1,0,0,0
2018-05-01,4,0,2,0,0,0,2,0,4,1,16,0,0,0
2018-06-01,3,0,1,0,0,0,3,1,3,1,15,0,0,0
2018-07-01,4,0,3,1,5,14,5,1,3,1,27,0,0,0
2018-08-01,2,0,1,0,4,10,4,2,2,1,20,0,0,0
2018-09-01,2,0,1,2,4,11,4,1,2,1,15,0,0,0
2018-10-01,4,0,1,1,6,10,7,2,4,1,23,0,0,0
2018-11-01,5,0,1,0,5,0,4,0,5,1,0,0,0,0
2018-12-01,1,0,1,0,1,0,1,0,1,1,0,0,0,0
2019-01-01,0,0,0,0,3,10,4,3,0,0,13,0,6,0
2019-02-01,0,0,0,0,2,2,2,2,0,0,4,0,5,0
2019-03-01,0,0,0,1,2,4,2,2,0,0,5,0,4,0
2019-04-01,1,0,1,4,8,12,9,6,1,1,13,0,34,0
